Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB,RAM_Apache1,RAM_Apache2,RAM_Work,RAM_Haproxy,RAM_Redis,RAM_MariaDB
18:18:37,0.10,0.11,0.13,0.03,0.10,103.42,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,217.2MiB
18:19:21,0.11,0.11,0.12,0.03,0.10,102.43,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,212.9MiB
18:20:04,0.11,0.12,0.17,0.00,0.09,104.01,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,216.1MiB
18:20:48,0.12,0.11,0.13,0.17,0.10,105.00,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,220.2MiB
18:21:31,0.12,0.12,0.13,0.02,0.10,104.27,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,216.8MiB
18:22:15,0.12,0.10,0.13,0.02,0.10,102.94,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,215.8MiB
18:22:59,0.12,0.12,0.12,0.18,0.09,104.25,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,218.5MiB
18:23:42,0.12,0.12,0.12,0.00,0.10,103.81,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,218MiB
18:24:26,0.14,0.10,0.12,0.00,0.09,105.51,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,216.9MiB
18:25:09,0.13,0.12,0.13,0.03,0.10,104.69,42.03MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,216.4MiB
18:25:53,0.12,0.11,0.11,0.02,0.10,103.30,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,215.4MiB
18:26:37,0.10,0.11,0.13,0.00,0.09,102.62,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,216.7MiB
18:27:20,0.16,0.12,0.16,0.00,0.09,103.14,42.02MiB,35.71MiB,33MiB,82.15MiB,13.81MiB,215.2MiB
18:28:04,0.11,0.10,0.12,0.03,0.09,103.03,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,215.9MiB
18:28:47,0.13,0.11,0.12,0.03,0.10,105.78,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,218.1MiB
18:29:31,0.12,0.11,0.13,0.00,0.10,103.16,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,218.8MiB
18:30:14,0.12,0.13,0.13,0.00,0.10,102.05,42.02MiB,35.71MiB,33MiB,82.16MiB,13.81MiB,216.5MiB
18:30:58,0.10,0.11,0.13,0.24,0.10,104.37,42.02MiB,35.71MiB,32.99MiB,82.16MiB,13.81MiB,217.3MiB
18:31:42,0.12,0.11,0.11,0.02,0.10,106.36,42.02MiB,35.71MiB,32.99MiB,82.15MiB,13.81MiB,217.1MiB
18:32:25,0.11,0.12,0.13,0.00,0.09,104.08,42.02MiB,35.71MiB,32.99MiB,82.15MiB,13.82MiB,217.9MiB
18:33:09,0.12,0.11,0.12,0.17,0.10,101.54,42.02MiB,35.71MiB,32.99MiB,82.17MiB,13.81MiB,214.8MiB
18:33:52,0.11,0.12,0.14,0.03,0.09,105.26,42.02MiB,35.71MiB,32.99MiB,82.16MiB,13.81MiB,218.3MiB
18:34:36,0.12,0.12,0.13,0.02,0.10,102.13,42.02MiB,35.71MiB,33.09MiB,82.16MiB,13.81MiB,218.3MiB
18:35:20,0.10,0.11,0.12,0.00,0.09,104.15,42.02MiB,35.71MiB,32.98MiB,82.15MiB,13.82MiB,218.3MiB
18:36:03,0.11,0.12,0.13,0.00,0.12,103.76,42.02MiB,35.71MiB,33.09MiB,82.16MiB,13.81MiB,222.4MiB
18:36:47,0.12,0.11,0.13,0.02,0.09,102.59,42.02MiB,35.71MiB,32.98MiB,82.16MiB,13.81MiB,217.2MiB
18:37:30,0.10,0.11,0.13,0.02,0.09,104.69,42.02MiB,35.71MiB,32.98MiB,82.16MiB,13.81MiB,216.7MiB
18:38:14,0.12,0.11,0.12,0.00,0.10,104.46,42.02MiB,35.71MiB,32.97MiB,82.15MiB,13.81MiB,218.9MiB
18:38:58,0.11,0.12,0.12,0.00,0.11,103.04,42.02MiB,35.71MiB,32.97MiB,82.16MiB,13.81MiB,217.2MiB
18:39:41,0.11,0.11,0.12,0.00,0.09,104.14,42.02MiB,35.71MiB,32.96MiB,82.16MiB,13.81MiB,218.2MiB
18:40:25,0.12,0.12,0.13,0.03,0.13,106.86,42.02MiB,35.71MiB,32.96MiB,82.15MiB,13.82MiB,215.8MiB
18:41:08,0.13,0.11,0.12,0.22,0.12,104.08,42.02MiB,35.71MiB,32.96MiB,82.15MiB,13.82MiB,216.6MiB
18:41:52,0.11,0.11,0.13,0.00,0.12,103.36,42.02MiB,35.71MiB,32.96MiB,82.16MiB,13.82MiB,219.6MiB
18:42:35,0.13,0.13,0.13,0.00,0.10,106.68,42.02MiB,41.25MiB,32.95MiB,82.17MiB,13.88MiB,216.9MiB
