Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB
20:12:31,0.45,0.47,0.17,0.03,0.2,0.05
20:12:59,0.19,0.39,0.56,0.97,0.27,0.06
20:13:27,0.44,0.26,0.6,0.12,0.33,0.02
20:13:55,0.19,0.21,0.16,0.03,0.13,0.02
20:14:23,0.2,0.17,0.46,0.04,0.25,0.09
20:14:51,0.16,0.35,0.27,0.14,0.24,0.08
20:15:18,0.23,0.24,0.48,0.05,0.28,0.05
20:15:46,0.19,0.66,0.58,0.03,0.3,0.07
20:16:14,0.25,0.64,0.62,0.1,0.24,0.06
20:16:41,0.5,0.54,0.39,0.82,0.32,0.04
20:17:09,0.55,0.55,0.57,0.08,0.31,0.05
20:17:37,0.45,0.52,0.18,0.07,0.21,0.05
20:18:06,0.21,0.23,0.36,0.07,0.25,0.04
20:18:33,0.51,0.6,0.2,0.04,0.29,0.05
20:19:01,0.28,0.2,0.55,0.04,0.23,0.03
20:19:29,0.26,0.59,0.59,0.03,0.27,0.01
20:19:57,0.55,0.59,0.53,0.0,0.29,0.06
20:20:24,0.5,0.51,0.28,0.11,0.29,0.03
20:20:52,0.21,0.45,0.25,0.07,0.31,0.06
20:21:20,0.7,0.49,0.28,0.06,0.24,0.06
20:21:47,0.49,0.17,0.17,0.09,0.25,0.02
20:22:15,0.53,0.18,0.48,0.03,0.27,0.06
20:22:44,0.55,0.61,0.51,0.07,0.26,0.03
20:23:12,0.35,0.39,0.54,0.08,0.22,0.06
20:23:39,0.22,0.43,0.58,0.01,0.29,0.01
20:24:07,0.17,0.52,0.5,0.03,0.31,0.06
20:24:35,0.28,1.0,0.17,0.04,0.27,0.05
20:25:03,0.47,0.6,0.59,0.0,0.28,0.06
20:25:30,0.69,0.58,0.55,0.06,0.28,0.05
20:25:58,0.69,0.33,0.59,0.12,0.17,0.06
20:26:26,0.67,0.5,0.49,0.0,0.27,0.04
20:26:54,0.47,0.52,0.51,0.03,0.31,0.06
20:27:22,0.18,0.44,0.37,0.58,0.27,0.02
20:27:50,0.57,0.2,0.37,0.01,0.27,0.04
20:28:18,0.61,0.48,0.51,0.06,0.3,0.06
20:28:45,0.46,0.5,0.28,0.11,0.28,0.04
20:29:13,0.64,0.54,0.33,0.01,0.29,0.04
20:29:41,0.49,0.27,0.51,0.07,0.3,0.03
20:30:09,0.68,0.39,0.5,0.11,0.26,0.03
20:30:36,0.25,0.45,0.37,0.01,0.32,0.06
20:31:05,0.16,0.41,0.47,0.59,0.2,0.04
20:31:33,0.26,0.21,0.51,0.1,0.29,0.05
20:32:01,0.6,0.65,0.49,0.02,0.23,0.06
20:32:28,0.23,0.52,0.59,0.07,0.3,0.05
20:32:56,0.5,0.49,0.17,0.13,0.26,0.04
20:33:24,0.3,0.5,0.15,0.01,0.28,0.03
20:33:52,0.5,0.21,0.15,0.11,0.27,0.07
20:34:19,0.24,0.6,0.35,0.07,0.28,0.05
20:34:47,0.29,0.41,0.51,0.6,0.26,0.06
20:35:16,0.43,0.29,0.54,0.14,0.27,0.05
20:35:44,0.38,0.66,0.58,0.08,0.3,0.06
20:36:11,0.39,0.58,0.39,0.01,0.32,0.04
20:36:39,0.18,0.28,0.62,0.11,0.29,0.06
20:37:07,0.59,0.51,0.53,0.0,0.26,0.08
20:37:35,0.55,0.6,0.54,0.0,0.24,0.06
